Scaling parameters by 0.62 to account for a batch size of 5.
Per-GPU batch size is less than the recommended limit for batch norm. Disabling batch norm.
loading annotations into memory...
Done (t=7.24s)
creating index...
index created!
loading annotations into memory...
Done (t=0.89s)
creating index...
index created!
Resuming training, loading weights/yolact_im700_54_800000.pth...
Ignoring "Error(s) in loading state_dict for Yolact:
	size mismatch for prediction_layers.0.conf_layer.weight: copying a param with shape torch.Size([243, 256, 3, 3]) from checkpoint, the shape in current model is torch.Size([6, 256, 3, 3]).
	size mismatch for prediction_layers.0.conf_layer.bias: copying a param with shape torch.Size([243]) from checkpoint, the shape in current model is torch.Size([6]).
	size mismatch for semantic_seg_conv.weight: copying a param with shape torch.Size([80, 256, 1, 1]) from checkpoint, the shape in current model is torch.Size([1, 256, 1, 1]).
	size mismatch for semantic_seg_conv.bias: copying a param with shape torch.Size([80]) from checkpoint, the shape in current model is torch.Size([1])."
Begin training!

[  0]       0 || B: 0.950 | C: 5.851 | M: 0.729 | S: 0.651 | T: 8.180 || ETA: 0:00:00 || timer: 1.468
[  0]      10 || B: 0.297 | C: 3.718 | M: 0.821 | S: 0.428 | T: 5.263 || ETA: 4 days, 10:50:38 || timer: 0.299
[  0]      20 || B: 0.260 | C: 3.143 | M: 0.791 | S: 0.300 | T: 4.494 || ETA: 4 days, 10:29:10 || timer: 0.296
[  0]      30 || B: 0.388 | C: 2.809 | M: 0.750 | S: 0.237 | T: 4.185 || ETA: 4 days, 10:33:52 || timer: 0.300
[  0]      40 || B: 0.337 | C: 2.494 | M: 0.671 | S: 0.205 | T: 3.706 || ETA: 4 days, 10:38:03 || timer: 0.299
[  0]      50 || B: 0.413 | C: 2.355 | M: 0.654 | S: 0.180 | T: 3.602 || ETA: 4 days, 10:45:24 || timer: 0.301
[  0]      60 || B: 0.454 | C: 2.235 | M: 0.621 | S: 0.162 | T: 3.471 || ETA: 4 days, 10:42:00 || timer: 0.299
[  0]      70 || B: 0.462 | C: 2.163 | M: 0.599 | S: 0.152 | T: 3.375 || ETA: 4 days, 10:49:34 || timer: 0.299
[  0]      80 || B: 0.460 | C: 2.042 | M: 0.577 | S: 0.141 | T: 3.219 || ETA: 4 days, 10:54:57 || timer: 0.302
[  0]      90 || B: 0.483 | C: 1.984 | M: 0.554 | S: 0.133 | T: 3.154 || ETA: 4 days, 11:04:59 || timer: 0.304
[  0]     100 || B: 0.475 | C: 1.869 | M: 0.538 | S: 0.122 | T: 3.003 || ETA: 4 days, 11:10:33 || timer: 0.304
[  0]     110 || B: 0.502 | C: 1.658 | M: 0.500 | S: 0.087 | T: 2.747 || ETA: 4 days, 11:14:07 || timer: 0.304
[  0]     120 || B: 0.582 | C: 1.542 | M: 0.472 | S: 0.075 | T: 2.670 || ETA: 4 days, 11:16:16 || timer: 0.305
[  0]     130 || B: 0.565 | C: 1.452 | M: 0.445 | S: 0.071 | T: 2.533 || ETA: 4 days, 11:18:15 || timer: 0.304
[  0]     140 || B: 0.574 | C: 1.406 | M: 0.447 | S: 0.065 | T: 2.491 || ETA: 4 days, 11:20:08 || timer: 0.305
[  0]     150 || B: 0.558 | C: 1.364 | M: 0.437 | S: 0.061 | T: 2.419 || ETA: 4 days, 11:22:19 || timer: 0.305
[  0]     160 || B: 0.516 | C: 1.290 | M: 0.443 | S: 0.060 | T: 2.309 || ETA: 4 days, 11:24:33 || timer: 0.300
[  0]     170 || B: 0.508 | C: 1.219 | M: 0.438 | S: 0.058 | T: 2.223 || ETA: 4 days, 11:25:37 || timer: 0.303
[  0]     180 || B: 0.511 | C: 1.202 | M: 0.435 | S: 0.056 | T: 2.205 || ETA: 4 days, 11:27:42 || timer: 0.304
[  0]     190 || B: 0.485 | C: 1.160 | M: 0.443 | S: 0.055 | T: 2.143 || ETA: 4 days, 11:29:34 || timer: 0.303
[  0]     200 || B: 0.538 | C: 1.156 | M: 0.451 | S: 0.052 | T: 2.197 || ETA: 4 days, 11:30:38 || timer: 0.304
[  0]     210 || B: 0.546 | C: 1.121 | M: 0.457 | S: 0.050 | T: 2.174 || ETA: 4 days, 11:33:40 || timer: 0.307
[  0]     220 || B: 0.498 | C: 1.097 | M: 0.459 | S: 0.049 | T: 2.104 || ETA: 4 days, 11:36:19 || timer: 0.304
[  0]     230 || B: 0.498 | C: 1.070 | M: 0.460 | S: 0.047 | T: 2.075 || ETA: 4 days, 11:37:51 || timer: 0.305
[  0]     240 || B: 0.517 | C: 1.086 | M: 0.457 | S: 0.046 | T: 2.106 || ETA: 4 days, 11:40:29 || timer: 0.307
[  0]     250 || B: 0.509 | C: 1.048 | M: 0.452 | S: 0.045 | T: 2.054 || ETA: 4 days, 11:42:31 || timer: 0.306
[  0]     260 || B: 0.547 | C: 1.075 | M: 0.445 | S: 0.042 | T: 2.108 || ETA: 4 days, 11:45:07 || timer: 0.306
[  0]     270 || B: 0.549 | C: 1.069 | M: 0.440 | S: 0.038 | T: 2.097 || ETA: 4 days, 11:47:12 || timer: 0.304
[  0]     280 || B: 0.549 | C: 1.063 | M: 0.438 | S: 0.036 | T: 2.087 || ETA: 4 days, 11:49:27 || timer: 0.306
[  0]     290 || B: 0.553 | C: 1.030 | M: 0.434 | S: 0.034 | T: 2.051 || ETA: 4 days, 11:50:43 || timer: 0.304
[  0]     300 || B: 0.491 | C: 0.969 | M: 0.425 | S: 0.032 | T: 1.917 || ETA: 4 days, 11:53:09 || timer: 0.310
[  0]     310 || B: 0.480 | C: 0.972 | M: 0.423 | S: 0.031 | T: 1.905 || ETA: 4 days, 11:54:44 || timer: 0.308
[  0]     320 || B: 0.469 | C: 0.937 | M: 0.408 | S: 0.030 | T: 1.845 || ETA: 4 days, 11:56:26 || timer: 0.306
[  0]     330 || B: 0.480 | C: 0.929 | M: 0.404 | S: 0.029 | T: 1.842 || ETA: 4 days, 11:57:59 || timer: 0.306
[  0]     340 || B: 0.503 | C: 0.913 | M: 0.406 | S: 0.029 | T: 1.851 || ETA: 4 days, 11:58:46 || timer: 0.306
[  0]     350 || B: 0.567 | C: 0.957 | M: 0.433 | S: 0.030 | T: 1.988 || ETA: 4 days, 11:59:27 || timer: 0.307
[  0]     360 || B: 0.568 | C: 0.939 | M: 0.432 | S: 0.033 | T: 1.973 || ETA: 4 days, 12:00:35 || timer: 0.302
[  0]     370 || B: 0.625 | C: 0.941 | M: 0.445 | S: 0.035 | T: 2.046 || ETA: 4 days, 12:02:24 || timer: 0.308
[  0]     380 || B: 0.637 | C: 0.918 | M: 0.439 | S: 0.037 | T: 2.031 || ETA: 4 days, 12:04:27 || timer: 0.306
[  0]     390 || B: 0.629 | C: 0.913 | M: 0.436 | S: 0.037 | T: 2.015 || ETA: 4 days, 12:05:36 || timer: 0.307
[  0]     400 || B: 0.639 | C: 0.938 | M: 0.433 | S: 0.037 | T: 2.048 || ETA: 4 days, 12:07:26 || timer: 0.304
[  0]     410 || B: 0.630 | C: 0.893 | M: 0.430 | S: 0.037 | T: 1.991 || ETA: 4 days, 12:09:36 || timer: 0.309
